timestamp,heart_rate,spo2,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,latitude,longitude,speed,activity,tamper,sos,scenario
2026-01-01 07:03:00,66.67,98.59,0.162,0.111,0.062,2.046,3.07,0.651,12.949787,77.584269,0.204,resting,0,0,normal_rest
2026-01-01 07:03:12,63.52,98.91,0.134,0.124,0.127,0.471,1.947,1.044,12.949624,77.583889,0.198,resting,0,0,normal_rest
2026-01-01 07:03:24,65.4,97.93,0.061,0.164,0.066,2.37,2.257,0.47,12.949743,77.583917,0.176,resting,0,0,normal_rest
2026-01-01 07:03:36,78.08,98.15,0.16,0.022,0.074,0.88,1.791,0.544,12.95072,77.584536,0.0,resting,0,0,normal_rest
2026-01-01 07:03:48,77.01,97.69,0.181,0.165,0.085,2.151,1.07,1.119,12.949846,77.584453,0.159,resting,0,0,normal_rest
2026-01-01 07:04:00,60.79,98.15,0.04,0.084,0.082,2.529,0.992,2.627,12.950697,77.584125,0.212,resting,0,0,normal_rest
2026-01-01 07:04:12,69.39,98.54,0.176,0.017,0.095,2.021,1.585,1.839,12.950255,77.584278,0.201,resting,0,0,normal_rest
2026-01-01 07:04:24,70.02,99.72,0.074,0.037,0.107,1.302,1.226,2.246,12.950175,77.584693,0.299,resting,0,0,normal_rest
2026-01-01 07:04:36,70.19,99.0,0.08,0.127,0.135,2.736,1.27,0.97,12.950753,77.584791,0.162,resting,0,0,normal_rest
2026-01-01 07:04:48,57.85,96.97,0.143,-0.046,0.129,1.383,1.938,2.715,12.950562,77.584323,0.166,resting,0,0,normal_rest
2026-01-01 07:05:00,69.67,98.35,0.154,-0.018,0.109,1.332,1.384,2.662,12.949697,77.584082,0.37,resting,0,0,normal_rest
2026-01-01 07:05:12,64.79,98.8,0.04,0.077,0.111,1.356,1.939,1.899,12.95059,77.583345,0.075,resting,0,0,normal_rest
2026-01-01 07:05:24,68.28,99.33,0.174,0.036,0.054,1.057,0.709,2.673,12.949672,77.58461,0.0,resting,0,0,normal_rest
2026-01-01 07:05:36,70.49,98.17,0.08,-0.058,0.131,2.893,0.858,2.065,12.950544,77.584574,0.36,resting,0,0,normal_rest
2026-01-01 07:05:48,76.56,99.12,0.043,0.049,0.078,3.019,1.779,2.599,12.950633,77.584758,0.0,resting,0,0,normal_rest
2026-01-01 07:06:00,68.5,98.13,0.177,0.063,0.066,2.755,0.78,1.363,12.950575,77.583623,0.14,resting,0,0,normal_rest
2026-01-01 07:06:12,64.9,97.74,0.191,-0.048,0.117,1.759,2.022,1.859,12.949637,77.583505,0.452,resting,0,0,normal_rest
2026-01-01 07:06:24,70.77,98.41,0.188,-0.058,0.053,1.842,1.253,1.352,12.950742,77.58338,0.0,resting,0,0,normal_rest
2026-01-01 07:06:36,64.67,98.46,0.032,0.053,0.105,2.52,1.174,2.114,12.950084,77.584118,0.414,resting,0,0,normal_rest
2026-01-01 07:06:48,65.93,97.89,0.079,0.032,0.126,1.504,-0.066,1.508,12.950066,77.583307,0.0,resting,0,0,normal_rest
2026-01-01 07:07:00,70.17,99.62,0.17,-0.017,0.076,2.083,-0.985,1.207,12.949788,77.583867,0.0,resting,0,0,normal_rest
2026-01-01 07:07:12,65.16,97.76,0.093,-0.096,0.096,2.911,0.968,0.91,12.950158,77.584122,0.307,resting,0,0,normal_rest
2026-01-01 07:07:24,70.75,99.06,0.126,-0.101,0.062,0.781,-0.582,1.538,12.950408,77.58373,0.0,resting,0,0,normal_rest
2026-01-01 07:07:36,62.55,99.08,0.046,-0.023,0.096,1.278,0.371,0.456,12.950675,77.58331,0.102,resting,0,0,normal_rest
2026-01-01 07:07:48,60.28,99.4,0.093,-0.146,0.066,2.694,-0.265,2.153,12.94979,77.583874,0.55,resting,0,0,normal_rest
2026-01-01 07:08:00,58.91,97.39,0.148,-0.051,0.121,1.83,0.591,1.537,12.95047,77.584774,0.364,resting,0,0,normal_rest
2026-01-01 07:08:12,63.53,98.52,0.123,-0.074,0.108,1.234,-1.482,0.897,12.950245,77.583607,0.385,resting,0,0,normal_rest
2026-01-01 07:08:24,65.62,98.39,0.032,-0.049,0.116,0.681,-0.739,1.395,12.950008,77.583704,0.0,resting,0,0,normal_rest
2026-01-01 07:08:36,69.55,97.43,0.126,-0.042,0.074,0.488,-0.999,1.788,12.950193,77.58464,0.0,resting,0,0,normal_rest
2026-01-01 07:08:48,61.48,99.15,0.07,-0.076,0.053,0.944,-0.894,0.12,12.95072,77.584717,0.0,resting,0,0,normal_rest
2026-01-01 07:09:00,73.82,98.09,0.077,-0.185,0.071,1.711,-2.068,1.391,12.950188,77.583455,0.121,resting,0,0,normal_rest
2026-01-01 07:09:12,72.18,98.74,0.005,-0.136,0.113,1.201,-0.294,1.726,12.949872,77.58393,0.099,resting,0,0,normal_rest
2026-01-01 07:09:24,69.86,99.24,0.068,-0.059,0.097,2.033,0.111,0.249,12.949739,77.584054,0.1,resting,0,0,normal_rest
2026-01-01 07:09:36,99.31,99.06,-1.277,-0.155,-0.712,-15.152,-7.774,-7.841,12.949747,77.583434,2.894,walking,0,0,normal_walking
2026-01-01 07:09:48,88.55,98.18,-1.467,0.167,-0.616,-19.015,-1.635,-10.666,12.950712,77.584733,3.029,walking,0,0,normal_walking
2026-01-01 07:10:00,101.66,99.03,-1.17,0.219,-0.951,-13.139,0.217,-8.586,12.950565,77.584193,2.12,walking,0,0,normal_walking
2026-01-01 07:10:12,94.93,99.09,-1.633,0.489,-0.737,-14.525,0.802,-7.519,12.95035,77.583735,1.544,walking,0,0,normal_walking
2026-01-01 07:10:24,90.4,99.8,-1.377,0.339,-0.803,-15.174,-1.876,-4.405,12.95063,77.584733,3.086,walking,0,0,normal_walking
2026-01-01 07:10:36,89.39,96.66,-1.465,0.197,-0.615,-20.18,-1.113,-4.04,12.950814,77.583578,3.172,walking,0,0,normal_walking
2026-01-01 07:10:48,90.3,97.23,-1.667,0.739,-0.893,-14.157,2.633,-3.525,12.950171,77.584596,2.427,walking,0,0,normal_walking
2026-01-01 07:11:00,82.61,98.59,-1.227,0.498,-0.659,-15.837,4.25,-4.712,12.950358,77.584456,3.252,walking,0,0,normal_walking
2026-01-01 07:11:12,90.38,97.24,-1.45,0.48,-0.774,-18.444,5.496,-1.836,12.950671,77.583716,3.149,walking,0,0,normal_walking
2026-01-01 07:11:24,96.49,99.21,-1.379,0.54,-0.726,-16.303,3.448,-5.43,12.950364,77.584345,2.739,walking,0,0,normal_walking
2026-01-01 07:11:36,100.77,97.8,-1.067,0.618,-0.403,-12.484,10.795,-1.148,12.950431,77.583624,1.948,walking,0,0,normal_walking
2026-01-01 07:11:48,93.44,99.06,-0.92,0.815,-0.663,-9.8,4.469,-2.758,12.950018,77.583267,2.529,walking,0,0,normal_walking
2026-01-01 07:12:00,95.51,97.98,-0.873,0.971,-0.315,-12.44,9.665,-0.004,12.950478,77.583671,1.229,walking,0,0,normal_walking
2026-01-01 07:12:12,96.89,97.01,-0.798,1.189,-0.482,-11.1,11.804,-0.821,12.950998,77.583673,2.049,walking,0,0,normal_walking
2026-01-01 07:12:24,99.66,98.02,-0.787,0.902,-0.403,-4.581,12.999,1.891,12.950025,77.583303,2.117,walking,0,0,normal_walking
2026-01-01 07:12:36,77.33,96.77,-0.784,1.062,-0.164,-0.945,14.832,0.501,12.950768,77.584183,1.122,walking,0,0,normal_walking
2026-01-01 07:12:48,91.94,96.7,-0.755,0.878,-0.074,-1.366,16.498,3.947,12.950029,77.583674,2.532,walking,0,0,normal_walking
2026-01-01 07:13:00,92.11,97.67,-0.757,1.316,0.06,-0.914,17.089,7.77,12.949884,77.583873,3.514,walking,0,0,normal_walking
2026-01-01 07:13:12,103.39,98.42,-0.409,1.172,0.168,-3.14,14.21,6.356,12.95065,77.583612,2.507,walking,0,0,normal_walking
2026-01-01 07:13:24,92.16,97.05,-0.37,1.197,-0.007,6.209,16.564,6.562,12.950267,77.583714,1.342,walking,0,0,normal_walking
2026-01-01 07:13:36,83.76,100,-0.199,1.103,0.349,5.029,14.311,6.386,12.950402,77.583683,3.226,walking,0,0,normal_walking
2026-01-01 07:13:48,98.13,98.04,0.015,1.299,0.203,7.099,10.592,10.313,12.950771,77.58418,2.294,walking,0,0,normal_walking
2026-01-01 07:14:00,96.82,99.06,0.144,0.862,0.496,10.864,13.608,5.665,12.9506,77.583562,3.422,walking,0,0,normal_walking
2026-01-01 07:14:12,84.85,97.72,0.527,0.911,0.389,7.127,17.592,8.406,12.950736,77.583992,4.589,walking,0,0,normal_walking
2026-01-01 07:14:24,89.97,99.74,0.312,1.223,0.437,12.979,11.567,7.453,12.950938,77.58456,0.5,walking,0,0,normal_walking
2026-01-01 07:14:36,78.58,97.11,0.515,0.987,0.478,9.384,10.334,10.056,12.950477,77.583415,2.701,walking,0,0,normal_walking
2026-01-01 07:14:48,86.33,97.45,0.003,0.866,0.765,2.415,8.862,6.243,13.038368,77.690654,4.925,travel,0,0,unusual_location
2026-01-01 07:15:00,85.02,95.76,0.135,0.747,0.63,3.345,9.407,4.475,13.016984,77.70409,1.783,travel,0,0,unusual_location
2026-01-01 07:15:12,67.87,98.4,-0.026,0.83,0.635,5.93,10.298,6.619,13.041701,77.686693,2.409,travel,0,0,unusual_location
2026-01-01 07:15:24,90.18,98.03,-0.07,0.783,0.686,7.186,9.817,4.695,13.044265,77.716944,3.028,travel,0,0,unusual_location
2026-01-01 07:15:36,91.28,96.87,0.279,0.865,0.318,6.599,7.335,4.41,13.019461,77.710661,4.351,travel,0,0,unusual_location
2026-01-01 07:15:48,92.83,98.03,0.429,0.722,0.329,7.624,6.496,4.749,13.038167,77.718599,3.798,travel,0,0,unusual_location
2026-01-01 07:16:00,98.63,97.93,0.513,0.711,0.234,5.547,7.577,5.228,13.025695,77.691739,2.355,travel,0,0,unusual_location
2026-01-01 07:16:12,80.36,98.17,0.398,0.498,0.314,6.564,11.095,3.737,13.025547,77.721237,4.61,travel,0,0,unusual_location
2026-01-01 07:16:24,84.61,99.33,0.552,0.66,0.054,7.002,8.158,6.349,13.054667,77.711882,2.735,travel,0,0,unusual_location
2026-01-01 07:16:36,98.21,96.71,0.611,0.607,0.198,8.429,8.683,6.116,13.039839,77.696586,1.824,travel,0,0,unusual_location
2026-01-01 07:16:48,77.41,98.37,0.694,0.309,-0.01,8.122,5.885,2.3,13.041417,77.694416,0.5,travel,0,0,unusual_location
2026-01-01 07:17:00,81.42,98.25,0.789,0.416,0.097,8.226,6.487,1.918,13.036804,77.724643,2.356,travel,0,0,unusual_location
2026-01-01 07:17:12,99.58,97.3,0.794,0.564,0.077,8.579,6.279,4.687,13.054092,77.686006,5.03,travel,0,0,unusual_location
2026-01-01 07:17:24,86.76,97.05,0.883,0.495,-0.309,5.605,3.966,4.75,13.033774,77.712609,1.661,travel,0,0,unusual_location
2026-01-01 07:17:36,86.45,98.23,0.923,0.427,-0.313,6.449,4.162,4.64,13.038046,77.724729,2.754,travel,0,0,unusual_location
2026-01-01 07:17:48,93.68,98.67,0.89,0.304,-0.153,6.384,7.05,0.579,13.019484,77.723329,4.459,travel,0,0,unusual_location
2026-01-01 07:18:00,78.85,97.88,1.043,-0.038,-0.427,6.333,7.694,3.365,13.032198,77.683916,5.028,travel,0,0,unusual_location
2026-01-01 07:18:12,92.22,97.04,0.731,-0.061,-0.318,6.16,5.527,1.928,13.037388,77.727856,4.394,travel,0,0,unusual_location
2026-01-01 07:18:24,87.2,96.93,0.72,0.057,-0.656,7.489,2.39,-0.496,13.039502,77.680031,4.154,travel,0,0,unusual_location
2026-01-01 07:18:36,81.44,100,0.739,-0.176,-0.642,4.083,4.321,-1.843,13.021525,77.723989,3.349,travel,0,0,unusual_location
2026-01-01 07:18:48,86.47,98.86,0.756,-0.266,-0.509,5.528,4.162,-0.247,13.016224,77.718461,3.594,travel,0,0,unusual_location
2026-01-01 07:19:00,77.73,98.14,1.023,0.001,-0.626,4.746,4.734,-2.633,13.019998,77.704153,3.16,travel,0,0,unusual_location
2026-01-01 07:19:12,82.82,96.52,1.071,-0.374,-0.813,5.059,-0.961,-2.117,13.034802,77.699041,2.117,travel,0,0,unusual_location
2026-01-01 07:19:24,79.45,96.5,0.923,-0.42,-0.611,5.825,1.643,-0.304,13.028657,77.728691,3.006,travel,0,0,unusual_location
2026-01-01 07:19:36,81.19,98.06,0.785,-0.334,-0.726,1.346,-0.291,-1.227,13.044489,77.68971,2.733,travel,0,0,unusual_location
2026-01-01 07:19:48,88.86,98.06,0.653,-0.273,-0.588,3.178,-0.077,-2.13,13.052582,77.682314,2.761,travel,0,0,unusual_location
2026-01-01 07:20:00,79.72,99.21,0.909,-0.273,-0.616,4.73,-0.674,-3.502,13.028855,77.685068,2.445,travel,0,0,unusual_location
2026-01-01 07:20:12,83.72,99.6,0.703,-0.365,-0.655,3.282,0.028,-1.016,13.041945,77.690168,5.001,travel,0,0,unusual_location
2026-01-01 07:20:24,84.99,97.58,0.907,-0.385,-0.744,-0.602,-1.426,-4.429,13.048419,77.709634,3.217,travel,0,0,unusual_location
2026-01-01 07:20:36,86.65,97.26,0.73,-0.748,-0.542,-1.054,-3.649,-4.601,13.050483,77.70727,3.752,travel,0,0,unusual_location
2026-01-01 07:20:48,87.52,96.27,0.436,-0.78,-0.716,0.404,-2.845,-5.201,13.030497,77.715033,2.452,travel,0,0,unusual_location
2026-01-01 07:21:00,79.13,97.82,0.531,-0.725,-0.484,-0.912,-3.478,-6.49,13.033384,77.692611,2.612,travel,0,0,unusual_location
2026-01-01 07:21:12,91.92,97.85,0.375,-0.817,-0.585,-2.364,-7.737,-3.468,13.031519,77.708918,3.916,travel,0,0,unusual_location
2026-01-01 07:21:24,92.11,98.89,0.25,-0.558,-0.604,-4.588,-3.156,-3.103,13.043862,77.703964,1.104,travel,0,0,unusual_location
2026-01-01 07:21:36,84.17,96.59,0.202,-0.921,-0.439,-1.116,-5.353,-3.363,13.038752,77.70762,3.827,travel,0,0,unusual_location
2026-01-01 07:21:48,84.55,96.56,0.256,-0.827,-0.366,-4.127,-8.333,-4.919,13.049508,77.691115,2.396,travel,0,0,unusual_location
2026-01-01 07:22:00,91.39,97.18,0.33,-0.642,-0.123,-5.18,-8.874,-6.392,13.020296,77.704445,1.407,travel,0,0,unusual_location
2026-01-01 07:22:12,78.9,98.0,0.268,-0.68,-0.18,-2.12,-6.908,-4.363,13.041962,77.687804,1.682,travel,0,0,unusual_location
2026-01-01 07:22:24,83.21,97.31,-0.108,-0.817,-0.156,-5.979,-10.084,-4.893,13.040729,77.722158,2.731,travel,0,0,unusual_location
2026-01-01 07:22:36,93.13,99.92,0.164,-0.753,-0.005,-5.443,-7.574,-3.481,13.01803,77.72053,4.597,travel,0,0,unusual_location
2026-01-01 07:22:48,89.73,96.18,-0.146,-0.81,-0.056,-7.926,-10.329,-2.841,13.051596,77.701431,2.072,travel,0,0,unusual_location
2026-01-01 07:23:00,95.23,97.82,-0.169,-0.787,0.024,-6.661,-9.502,-4.907,13.03595,77.687571,4.802,travel,0,0,unusual_location
2026-01-01 07:23:12,88.47,96.12,-0.407,-0.951,0.286,-7.425,-7.158,-3.537,13.029309,77.708836,5.667,travel,0,0,unusual_location
2026-01-01 07:23:24,78.1,98.5,-0.082,-0.697,0.255,-6.059,-6.029,-4.865,13.029115,77.708078,4.308,travel,0,0,unusual_location
2026-01-01 07:23:36,90.03,96.15,-0.213,-0.665,0.429,-6.612,-7.681,-4.036,13.030855,77.718523,2.441,travel,0,0,unusual_location
2026-01-01 07:23:48,91.07,99.11,-0.545,-0.885,0.275,-5.099,-10.695,-2.1,13.023005,77.689649,2.778,travel,0,0,unusual_location
2026-01-01 07:24:00,92.17,98.06,-0.372,-0.863,0.441,-8.73,-6.514,-1.73,13.049205,77.723122,3.605,travel,0,0,unusual_location
2026-01-01 07:24:12,82.08,97.41,-0.575,-0.773,0.628,-7.266,-8.034,-3.458,13.033314,77.69948,2.377,travel,0,0,unusual_location
2026-01-01 07:24:24,89.42,96.81,-0.411,-0.461,0.571,-8.103,-8.688,-2.036,13.048159,77.702387,5.822,travel,0,0,unusual_location
2026-01-01 07:24:36,83.29,97.8,-0.497,-0.597,0.481,-5.08,-5.811,-2.713,13.047871,77.685855,5.304,travel,0,0,unusual_location
2026-01-01 07:24:48,89.27,97.42,-0.737,-0.401,0.555,-6.987,-8.321,-3.447,13.046351,77.692573,4.861,travel,0,0,unusual_location
2026-01-01 07:25:00,88.71,97.6,-0.564,-0.402,0.733,-5.016,-9.162,-1.785,13.025264,77.728659,3.537,travel,0,0,unusual_location
2026-01-01 07:25:12,93.04,99.24,-0.814,-0.69,0.542,-7.545,-4.864,-0.107,13.04903,77.713735,3.056,travel,0,0,unusual_location
2026-01-01 07:25:24,77.51,97.68,-0.86,-0.326,0.684,-7.992,-4.035,0.589,13.020294,77.693336,3.716,travel,0,0,unusual_location
2026-01-01 07:25:36,86.2,98.47,-0.883,-0.347,0.604,-6.045,-4.908,-1.287,13.01651,77.704698,3.817,travel,0,0,unusual_location
2026-01-01 07:25:48,91.58,99.27,-1.107,0.468,-0.167,-0.175,7.137,4.731,12.950891,77.58394,2.816,walking,0,0,normal_walking
2026-01-01 07:26:00,90.95,96.6,-0.79,0.681,-0.214,-7.875,10.675,9.973,12.951212,77.583679,3.609,walking,0,0,normal_walking
2026-01-01 07:26:12,102.84,96.76,-1.117,0.778,-0.089,-3.687,6.977,6.658,12.95083,77.584239,1.689,walking,0,0,normal_walking
2026-01-01 07:26:24,72.0,97.71,-0.725,0.589,0.105,-2.998,10.527,10.422,12.950329,77.584618,3.438,walking,0,0,normal_walking
2026-01-01 07:26:36,87.3,99.27,-0.404,0.723,0.27,1.764,12.425,11.461,12.950435,77.583713,1.95,walking,0,0,normal_walking
2026-01-01 07:26:48,91.59,97.6,-0.464,1.003,0.174,1.709,9.198,9.961,12.950915,77.584404,2.475,walking,0,0,normal_walking
2026-01-01 07:27:00,100.92,97.82,-0.183,0.824,0.429,2.906,17.721,11.663,12.95081,77.584225,3.113,walking,0,0,normal_walking
2026-01-01 07:27:12,83.78,99.36,-0.174,1.174,0.158,7.853,16.245,6.066,12.950395,77.58414,4.325,walking,0,0,normal_walking
2026-01-01 07:27:24,96.98,96.76,-0.049,1.215,0.319,10.963,14.578,8.817,12.950751,77.583732,2.397,walking,0,0,normal_walking
2026-01-01 07:27:36,92.01,98.49,0.112,1.027,0.391,10.428,11.853,6.889,12.950796,77.584157,0.5,walking,0,0,normal_walking
2026-01-01 07:27:48,99.77,97.49,0.31,1.032,0.657,10.653,10.256,9.014,12.950667,77.584583,2.925,walking,0,0,normal_walking
2026-01-01 07:28:00,90.53,98.3,0.25,1.274,0.696,14.609,17.665,8.256,12.951346,77.583627,3.191,walking,0,0,normal_walking
2026-01-01 07:28:12,83.97,99.14,0.065,1.12,0.555,16.704,14.023,7.527,12.950483,77.583436,4.119,walking,0,0,normal_walking
2026-01-01 07:28:24,103.15,98.0,0.486,1.234,0.784,10.456,17.437,7.058,12.950447,77.583608,1.608,walking,0,0,normal_walking
2026-01-01 07:28:36,95.27,98.27,0.397,1.332,0.668,19.745,8.703,3.23,12.950764,77.584517,1.637,walking,0,0,normal_walking
2026-01-01 07:28:48,87.15,99.41,0.609,1.311,0.887,19.874,9.873,5.515,12.950541,77.583374,2.458,walking,0,0,normal_walking
2026-01-01 07:29:00,90.86,97.39,1.073,0.901,0.821,19.249,12.377,5.928,12.950727,77.583963,2.891,walking,0,0,normal_walking
2026-01-01 07:29:12,94.1,98.05,0.994,1.089,0.839,20.186,9.9,3.831,12.951046,77.584429,1.636,walking,0,0,normal_walking
2026-01-01 07:29:24,92.12,96.2,1.113,0.919,0.622,13.43,9.238,1.995,12.950724,77.584638,3.074,walking,0,0,normal_walking
2026-01-01 07:29:36,87.73,99.47,1.227,1.163,0.989,14.292,7.666,1.528,12.950628,77.584076,2.476,walking,0,0,normal_walking
2026-01-01 07:29:48,99.12,98.68,1.092,0.995,0.698,21.628,4.746,-0.822,12.95071,77.583501,3.326,walking,0,0,normal_walking
2026-01-01 07:30:00,92.68,96.83,1.237,0.886,0.715,13.034,10.729,-0.7,12.951089,77.583603,3.513,walking,0,0,normal_walking
2026-01-01 07:30:12,90.99,95.93,1.377,0.814,0.791,20.939,4.958,0.624,12.950826,77.583183,2.96,walking,0,0,normal_walking
2026-01-01 07:30:24,87.29,98.75,1.372,0.613,0.776,12.711,4.429,-1.005,12.951282,77.584323,2.398,walking,0,0,normal_walking
2026-01-01 07:30:36,112.68,98.99,1.541,0.617,0.901,18.879,0.457,-3.428,12.951231,77.583289,2.76,walking,0,0,normal_walking
2026-01-01 07:30:48,96.11,98.68,1.371,0.603,0.733,15.69,0.366,-3.657,12.951022,77.58317,4.337,walking,0,0,normal_walking
2026-01-01 07:31:00,110.24,97.03,1.418,0.651,0.569,17.758,-0.537,-4.097,12.951315,77.583575,4.347,walking,0,0,normal_walking
2026-01-01 07:31:12,95.26,96.46,1.511,0.229,0.591,18.203,1.921,-4.231,12.95161,77.584029,1.629,walking,0,0,normal_walking
2026-01-01 07:31:24,86.75,97.04,1.592,0.205,0.621,7.659,2.142,-8.911,12.951141,77.583367,1.993,walking,0,0,normal_walking
2026-01-01 07:31:36,98.22,99.25,1.31,0.431,0.659,14.769,-1.021,-9.806,12.95047,77.583594,3.297,walking,0,0,normal_walking
2026-01-01 07:31:48,95.64,97.14,1.134,0.411,0.365,8.182,-1.921,-6.385,12.950844,77.584151,2.776,walking,0,0,normal_walking
2026-01-01 07:32:00,88.48,97.58,1.133,0.143,0.252,12.879,-7.38,-9.422,12.951232,77.584199,3.273,walking,0,0,normal_walking
2026-01-01 07:32:12,102.55,99.63,1.093,-0.167,0.363,5.384,-2.381,-6.6,12.950847,77.583646,2.251,walking,0,0,normal_walking
2026-01-01 07:32:24,90.55,98.8,1.292,-0.146,0.198,2.528,-7.979,-10.558,12.951618,77.584374,0.868,walking,0,0,normal_walking
2026-01-01 07:32:36,88.09,97.01,0.933,-0.075,0.159,4.676,-12.842,-9.455,12.951315,77.583305,2.105,walking,0,0,normal_walking
2026-01-01 07:32:48,92.09,97.9,1.033,-0.036,0.034,5.949,-6.36,-9.134,12.951346,77.583245,3.624,walking,0,0,normal_walking
2026-01-01 07:33:00,109.14,98.36,0.955,-0.321,0.084,4.253,-6.917,-10.913,12.950877,77.584116,2.687,walking,0,0,normal_walking
2026-01-01 07:33:12,112.99,96.34,0.748,-0.427,0.094,2.796,-7.584,-6.569,12.951557,77.583363,4.064,walking,0,0,normal_walking
2026-01-01 07:33:24,92.53,97.35,0.729,-0.511,0.019,-0.009,-12.394,-10.441,12.950634,77.584653,5.542,walking,0,0,normal_walking
2026-01-01 07:33:36,86.78,98.2,0.402,-0.469,-0.114,-4.504,-10.379,-10.217,12.950646,77.583339,4.087,walking,0,0,normal_walking
2026-01-01 07:33:48,80.27,99.27,0.283,-0.842,-0.373,-9.318,-15.331,-9.438,12.95151,77.583902,3.594,walking,0,0,normal_walking
2026-01-01 07:34:00,88.4,99.52,0.058,-0.656,-0.294,-12.731,-16.989,-8.505,12.951428,77.584602,2.019,walking,0,0,normal_walking
2026-01-01 07:34:12,96.63,97.81,0.476,-0.901,-0.391,-12.639,-17.113,-8.84,12.951604,77.5842,3.317,walking,0,0,normal_walking
2026-01-01 07:34:24,84.37,98.64,0.083,-0.84,-0.433,-14.036,-16.237,-4.569,12.951434,77.584042,3.16,walking,0,0,normal_walking
2026-01-01 07:34:36,89.93,99.14,-0.29,-0.889,-0.554,-11.78,-17.149,-6.399,12.951079,77.584197,3.447,walking,0,0,normal_walking
2026-01-01 07:34:48,94.56,99.27,-0.399,-0.956,-0.485,-14.147,-13.796,-4.838,12.951174,77.583256,3.837,walking,0,0,normal_walking
2026-01-01 07:35:00,94.77,96.54,-0.132,-0.963,-0.837,-16.287,-17.644,-0.775,12.951524,77.584226,3.908,walking,0,0,normal_walking
2026-01-01 07:35:12,93.63,97.9,-0.458,-0.902,-0.589,-10.865,-12.094,-3.337,12.951684,77.583177,3.783,walking,0,0,normal_walking
2026-01-01 07:35:24,91.69,96.92,-0.426,-1.044,-0.669,-17.946,-15.88,-1.723,12.951612,77.584516,3.86,walking,0,0,normal_walking
2026-01-01 07:35:36,92.1,98.08,-0.925,-1.184,-0.688,-16.605,-12.17,0.928,12.951209,77.584228,2.913,walking,0,0,normal_walking
2026-01-01 07:35:48,98.45,97.92,-0.564,-1.136,-0.672,-13.684,-16.185,-1.831,12.950912,77.584562,2.465,walking,0,0,normal_walking
2026-01-01 07:36:00,83.08,97.1,-1.124,-0.98,-0.832,-20.491,-13.642,3.061,12.950709,77.583114,3.899,walking,0,0,normal_walking
2026-01-01 07:36:12,94.88,97.9,-0.892,-1.011,-0.871,-19.967,-13.487,2.776,12.950941,77.584364,2.117,walking,0,0,normal_walking
2026-01-01 07:36:24,107.82,98.91,-0.812,-0.88,-0.748,-18.701,-9.41,5.565,12.950865,77.583538,4.153,walking,0,0,normal_walking
2026-01-01 07:36:36,88.25,97.51,-1.195,-0.941,-0.802,-14.305,-10.181,4.863,12.951549,77.583566,3.157,walking,0,0,normal_walking
2026-01-01 07:36:48,75.04,97.0,-1.158,-1.225,-0.879,-20.429,-6.015,6.996,12.95158,77.584518,3.127,walking,0,0,normal_walking
2026-01-01 07:37:00,89.47,97.83,-1.192,-0.823,-0.879,-14.351,-4.204,5.613,12.951489,77.583358,4.238,walking,0,0,normal_walking
